0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
0	0	4	16	161	0													
3	1	6	10	155	0													
1	0	5	3	50	1													
3	3	61	64	768	10													
0	0	13	28	287	4													
3	2	27	54	549	16													
6	8	107	167	2.046	36													
2	1	13	24	351	9													
4	2	41	88	1.169	20													
